timestamp,ran_ue_id,cell_id,dl_bitrate,ul_bitrate,dl_tx,ul_tx,dl_retx,ul_retx,pusch_snr,epre,ul_phr,ul_path_loss,p_ue,dl_mcs,ul_mcs,turbo_decoder_min,turbo_decoder_avg,turbo_decoder_max,cqi,ri,initial_ta
2025-01-23 18:51:40,87,1,105647,9000,11,5,0,0,17.5,-99.3,38,65.2,-16,27,12,1,2,3,15,2,6
2025-01-23 18:51:41,113,1,41425,109175,18,20,1,2,12.8,-101.9,38,65.9,-14,13.1,5.5,1,1.885,5,10,2,5
2025-01-23 18:51:41,87,1,109462,9762,12,5,0,0,18.8,-99.3,38,63.3,-16,27,10.4,2,2,2,15,2,6
2025-01-23 18:51:42,113,1,44162,91812,19,18,1,0,18.8,-96.6,38,68.2,-14,12.8,4.9,1,1.364,3,12,2,5
2025-01-23 18:51:42,87,1,102062,13625,14,6,0,0,19.4,-97.2,38,63.4,-16,26.9,10.5,1,1.667,2,15,2,6
2025-01-23 18:51:42,113,1,42437,105150,21,23,1,0,14,-100.2,36,66.3,-13,13.1,7,1,1.731,4,11,2,5
2025-01-23 18:51:42,87,1,105050,13162,16,7,1,0,15.2,-97.3,38,63,-16,26.9,12.6,2,2.286,3,15,2,6
2025-01-23 18:51:43,113,1,39878,106727,19,19,4,0,17.7,-97.3,34,66.7,-11,13.7,6.2,1,1.522,3,11,2,5
2025-01-23 18:51:43,87,1,105818,9951,12,5,0,0,18.2,-97,38,66.3,-14,27,11,2,2.2,3,15,2,6
2025-01-23 18:51:44,113,1,39687,106787,18,19,2,1,17.4,-97.7,34,70.3,-11,14.4,5.4,1,1.708,5,10,2,5
2025-01-23 18:51:44,87,1,113312,10862,13,5,0,0,17.4,-98.8,38,63,-16,27,11.8,2,2,2,15,2,6
2025-01-23 18:51:44,113,1,40762,109437,20,20,0,0,21.8,-94.9,38,63.9,-14,12.1,6.5,1,1.417,3,9,2,5
2025-01-23 18:51:44,87,1,117050,19912,16,9,0,0,17.2,-97.2,38,64.4,-16,26.9,12,2,2.111,3,15,2,6
2025-01-23 18:51:45,113,1,38157,110981,19,17,1,0,16.2,-97.6,36,64.3,-14,12.2,9.1,1,1.667,2,10,2,5
2025-01-23 18:51:45,87,1,103721,10339,11,5,1,0,16.3,-97.2,38,62.6,-16,26.6,11.6,2,2.2,3,15,2,6
2025-01-23 18:51:46,113,1,41333,103951,19,18,2,0,17.1,-96.1,38,66,-14,15,6.9,1,1.409,2,10,2,5
2025-01-23 18:51:46,87,1,116763,17260,16,10,0,0,15.5,-98.6,38,66.1,-16,26,11.6,1,1.9,3,15,2,6
2025-01-23 18:51:46,113,1,38125,109825,19,17,2,0,26.3,-91,34,65.5,-12,13.1,9.5,1,1.273,2,10,2,5
2025-01-23 18:51:46,87,1,114675,9762,15,5,0,0,15.7,-97.8,38,66.1,-16,26,10.4,2,2,2,15,2,6
2025-01-23 18:51:47,113,1,40642,109696,19,16,1,0,26.7,-90.6,36,62.8,-14,14.5,16.2,1,1.762,4,12,2,5
2025-01-23 18:51:47,87,1,103636,9709,11,5,0,0,19,-98.9,38,65.4,-14,26.6,10.6,2,2,2,15,2,6
2025-01-23 18:51:48,113,1,47400,97149,20,14,4,0,26.2,-92.4,34,65.8,-12,14.9,12,1,1.444,3,11,2,5
2025-01-23 18:51:48,87,1,105810,13382,12,7,0,1,19.9,-97,38,65.6,-16,26.9,13.7,2,2.625,5,15,2,6
2025-01-23 18:51:48,113,1,38142,71244,17,15,3,0,20.5,-94.1,36,63.7,-14,14.3,14.6,1,1.75,5,11,2,5
2025-01-23 18:51:48,87,1,60458,7578,9,4,0,0,15.2,-99.3,38,64.5,-16,27,12.5,2,2,2,15,2,6
2025-01-23 18:51:49,113,1,43200,147369,22,21,3,0,18.9,-95.8,36,64,-12,13.8,10.6,1,1.519,3,10,2,5
2025-01-23 18:51:49,87,1,151103,12775,17,8,0,0,19.4,-99.7,38,63.8,-16,26.9,12,2,2.125,3,15,2,6
2025-01-23 18:51:50,113,1,53830,132424,22,18,2,1,16.5,-97.6,38,63.2,-14,15.3,9,1,1.64,5,11,2,5
2025-01-23 18:51:50,87,1,120557,11054,12,6,1,0,17.1,-98.1,38,65.4,-16,26.2,12.3,2,2.167,3,15,2,6
2025-01-23 18:51:50,113,1,44912,56737,21,15,4,0,17.3,-96.6,38,66.6,-14,14.8,8.3,1,1.562,2,12,2,5
2025-01-23 18:51:50,87,1,59250,11812,11,5,0,0,17.2,-97.1,38,63.3,-16,26,11,2,2.2,3,15,2,6
2025-01-23 18:51:51,113,1,40181,52133,18,14,4,0,16.4,-97.2,38,63.6,-14,14.9,8.4,1,1.467,2,10,2,5
2025-01-23 18:51:51,87,1,58678,8193,11,4,0,0,17.6,-96.8,38,63.8,-16,26,11.5,2,2,2,15,2,6
2025-01-23 18:51:52,113,1,42162,58475,20,15,0,0,19.2,-95.3,36,67.3,-12,14.3,8.1,1,1.562,3,11,2,5
2025-01-23 18:51:52,87,1,58462,10262,12,5,0,0,20.4,-98.9,38,62.8,-16,26,12,2,2.2,3,15,2,6
2025-01-23 18:51:52,113,1,48882,143011,23,19,4,0,23.2,-94,36,61.3,-14,16,10.9,1,1.6,3,12,2,5
2025-01-23 18:51:52,87,1,136117,9188,12,6,0,0,18.5,-97.3,38,64.9,-16,26.2,14.2,2,2.167,3,15,2,6
2025-01-23 18:51:53,113,1,41550,63575,18,15,1,1,19.1,-95.1,38,63.7,-16,13.4,11.3,1,1.824,5,10,2,5
2025-01-23 18:51:53,87,1,67950,10462,13,5,0,0,20,-98.9,38,64.8,-16,27,12.2,2,2.2,3,15,2,6
2025-01-23 18:51:54,113,1,48569,150206,22,20,3,0,19.8,-94.1,38,62.7,-14,14.6,9.7,1,1.615,3,10,2,5
2025-01-23 18:51:54,87,1,169951,19648,20,9,0,0,17.8,-97,38,63,-16,26.9,12.2,2,2.111,3,15,2,6
